country,income,health,population,,,,,
Central African Republic,599,53.8,4900274,,,,,
Somalia,624,58.7,10787104,,,,,
Burundi,777,60.4,11178921,,,,,
Malawi,799,60.22,17215232,,,,,
"Congo, Dem. Rep.",809,58.3,77266814,,,,,
Niger,943,62.2,19899120,,,,,
Liberia,958,63.9,4503438,,,,,
Eritrea,1129,62.9,5227791,,,,,
Mozambique,1176,56.4,27977863,,,,,
Guinea,1225,60.8,12608590,,,,,
Guinea-Bissau,1386,53.4,1844325,,,,,
North Korea,1390,71.4,25155317,,,,,
Madagascar,1400,64.7,24235390,,,,,
Togo,1433,64.23,7304578,,,,,
Comoros,1472,64.1,788474,,,,,
Ethiopia,1520,63.6,99390750,,,,,
Rwanda,1549,66.53,11609666,,,,,
Gambia,1644,65.1,1990924,,,,,
Burkina Faso,1654,62.8,18105570,,,,,
Uganda,1680,60.8,39032383,,,,,
Mali,1684,57.6,17599694,,,,,
Haiti,1710,65.3,10711067,,,,,
Zimbabwe,1801,60.01,15602751,,,,,
Kiribati,1824,62.4,112423,,,,,
Benin,1830,65.5,10879829,,,,,
Afghanistan,1925,57.63,32526562,,,,,
Solomon Islands,2047,64.1,583591,,,,,
Sierra Leone,2085,58.5,6453184,,,,,
Timor-Leste,2086,72.4,1184765,,,,,
Chad,2191,57.7,14037472,,,,,
Senegal,2251,66.1,15129273,,,,,
Nepal,2352,71.2,28513700,,,,,
Papua New Guinea,2529,60.6,7619321,,,,,
Tanzania,2571,63.43,53470420,,,,,
Tajikistan,2582,71,8481855,,,,,
Lesotho,2598,48.5,2135022,,,,,
Cameroon,2897,59.5,23344179,,,,,
Kenya,2898,66.63,46050302,,,,,
Vanuatu,2912,65,264652,,,,,
Sao Tome and Principe,3003,68.8,190344,,,,,
South Sudan,3047,58,12339812,,,,,
Djibouti,3139,64.63,887861,,,,,
Bangladesh,3161,70.1,160995642,,,,,
Kyrgyz Republic,3245,69,5939962,,,,,
Cambodia,3267,68.4,15577899,,,,,
Cote d'Ivoire,3491,60.33,22701556,,,,,
"Micronesia, Fed. Sts.",3510,67,104460,,,,,
Marshall Islands,3661,65.1,52993,,,,,
Mauritania,3877,65.7,4067564,,,,,
Yemen,3887,67.6,26832215,,,,,
Sudan,3975,69.5,40234882,,,,,
Myanmar,4012,67.9,53897154,,,,,
Zambia,4034,58.96,16211767,,,,,
Ghana,4099,65.5,27409893,,,,,
Honduras,4270,72.4,8075060,,,,,
West Bank and Gaza,4319,75.2,4668466,,,,,
Syria,4637,70.26,18502413,,,,,
Nicaragua,4712,76.8,6082032,,,,,
Pakistan,4743,66.5,188924874,,,,,
Moldova,4896,72.7,4068897,,,,,
Tonga,5069,70.5,106170,,,,,
Lao,5212,66.4,6802023,,,,,
Samoa,5558,72.2,193228,,,,,
Uzbekistan,5598,70.1,29893488,,,,,
Vietnam,5623,76.5,93447601,,,,,
Nigeria,5727,61.33,182201962,,,,,
India,5903,66.8,1311050527,,,,,
Swaziland,6095,51.5,1286970,,,,,
"Congo, Rep.",6220,61.9,4620330,,,,,
Bolivia,6295,72.3,10724705,,,,,
Cape Verde,6514,74.6,520502,,,,,
Guyana,6816,64.4,767085,,,,,
Philippines,6876,70.2,100699395,,,,,
Guatemala,7279,73.1,16342897,,,,,
Morocco,7319,74.7,34377511,,,,,
Georgia,7474,73.3,3999812,,,,,
Angola,7615,61,25021974,,,,,
Armenia,7763,74.4,3017712,,,,,
El Salvador,7776,74.1,6126583,,,,,
Fiji,7925,66.3,892145,,,,,
Bhutan,7983,70.2,774830,,,,,
Paraguay,8219,73.9,6639123,,,,,
Ukraine,8449,72.1,44823765,,,,,
Belize,8501,70,359287,,,,,
Jamaica,8606,75.5,2793335,,,,,
Bosnia and Herzegovina,9833,77.9,3810416,,,,,
St. Lucia,9997,74.5,184999,,,,,
Namibia,10040,61,2458830,,,,,
St. Vincent and the Grenadines,10435,72.9,109462,,,,,
Dominica,10503,74.6,72680,,,,,
Indonesia,10504,70.9,257563815,,,,,
Albania,10620,76,2896679,,,,,
Sri Lanka,10624,76.5,20715010,,,,,
Ecuador,10996,75.2,16144363,,,,,
Egypt,11031,71.3,91508084,,,,,
Tunisia,11126,77.3,11253554,,,,,
Grenada,11593,71.7,106825,,,,,
Jordan,11752,78.3,7594547,,,,,
Mongolia,11819,65.3,2959134,,,,,
Peru,11903,77.5,31376670,,,,,
South Africa,12509,63.72,54490406,,,,,
"Macedonia, FYR",12547,77,2078453,,,,,
Colombia,12761,75.8,48228704,,,,,
Dominican Republic,12837,73.8,10528391,,,,,
Serbia,12908,78.1,8850975,,,,,
